ObjID,o+_h+,erro(o+_h+),o2+_h+,erro(o2+_h+),ICF(O),o_h,erro(o_h),he+_h+,erro(he+_h+),he2+_h+,erro(he2+_h+),ICF(He),+he_h,erro(+he_h)
IRAS11215-2806,8.409,0.011,7.892,0.008,1.3,8.631,0.011,10.891,0.024,10.336,0.011,1.5,11.166,0.013
MCG-01-24-012,8.542,0.009,7.975,0.007,1.3,8.750,0.010,10.804,0.031,10.238,0.014,1.5,11.077,0.016
MCG-02-51-008,8.486,0.012,7.900,0.014,1.1,8.631,0.011,10.856,0.026,9.879,0.029,1.3,11.018,0.018
NGC 1125,8.542,0.009,7.968,0.010,1.2,8.713,0.009,10.850,0.027,10.076,0.020,1.4,11.059,0.017
NGC 1194,8.306,0.018,8.023,0.010,1.1,8.515,0.012,10.896,0.024,9.703,0.045,1.4,11.063,0.016
NGC 1320,8.036,0.029,8.160,0.006,1.4,8.552,0.015,10.890,0.024,10.498,0.007,1.5,11.226,0.011
NGC 3281,8.407,0.014,8.163,0.008,1.3,8.722,0.012,10.892,0.025,10.387,0.009,1.5,11.182,0.013
NGC 3393,8.446,0.013,8.294,0.006,1.3,8.777,0.010,10.926,0.023,10.338,0.011,1.4,11.186,0.013
NGC 4939,8.377,0.014,8.265,0.006,1.3,8.740,0.010,10.926,0.023,10.403,0.009,1.5,11.208,0.012
NGC 4968,8.227,0.017,7.911,0.006,1.3,8.506,0.013,10.927,0.022,10.375,0.010,1.5,11.200,0.012
NGC 5427,8.346,0.014,8.014,0.008,1.2,8.576,0.010,10.993,0.019,10.189,0.015,1.4,11.194,0.012
NGC 5643,8.485,0.011,8.124,0.007,1.7,8.886,0.031,10.449,0.067,10.309,0.011,1.7,10.919,0.022
NGC 5990,8.721,0.015,8.059,0.027,1.1,8.844,0.014,10.794,0.029,9.749,0.038,1.3,10.947,0.022
NGC 7682,8.465,0.010,8.059,0.006,1.3,8.709,0.010,10.802,0.030,10.214,0.014,1.5,11.064,0.016
PKS1306-241,8.659,0.008,7.908,0.016,1.1,8.755,0.009,10.849,0.027,9.620,0.055,1.3,10.987,0.020
NGC 3184-72.8-91.3,8.258,0.002,7.241,0.002,1.015,8.304,0.002,10.780,0.005,8.947,0.039,1.253,10.885,0.007
NGC 3184-14.9-139.6,8.350,0.007,7.784,0.005,1.033,8.469,0.006,10.771,0.033,9.286,0.056,1.127,10.837,0.031
NGC 3184-80.0-148.2,8.494,0.005,7.639,0.009,1.007,8.554,0.004,10.901,0.040,8.749,0.063,1.221,10.991,0.039
NGC 3184-93.3-142.3,8.414,0.006,8.032,0.007,1.001,8.565,0.005,10.968,0.034,7.892,0.452,1.094,11.007,0.035
NGC 3184-172.5-30.2,8.304,0.002,7.992,0.003,1.003,8.478,0.002,10.958,0.014,8.387,0.146,1.078,10.992,0.014
164.6-9.9,8.626,0.009,8.052,0.009,1.009,8.732,0.007,10.910,0.008,8.845,0.049,1.142,10.972,0.010
17.3-235.4,8.532,0.005,7.907,0.009,1.001,8.625,0.005,10.896,0.008,7.899,0.175,1.161,10.961,0.010
189.2-136.3,8.483,0.008,8.423,0.009,1.008,8.759,0.006,10.993,0.006,8.894,0.074,1.039,11.014,0.007
183.9-179.0,8.621,0.007,8.268,0.009,1.001,8.781,0.006,10.886,0.008,7.891,0.173,1.088,10.923,0.009
225.6-124.1,8.539,0.007,8.077,0.009,1.002,8.669,0.006,10.926,0.007,8.199,0.087,1.115,10.974,0.009
117.9-235.0,8.457,0.010,7.873,0.009,1.017,8.565,0.008,10.920,0.011,9.158,0.041,1.140,10.984,0.014
200.3-193.6,8.489,0.009,8.182,0.009,1.010,8.667,0.006,10.909,0.012,8.897,0.074,1.075,10.945,0.012
96.7-266.9,8.518,0.009,7.726,0.009,1.004,8.585,0.008,10.814,0.010,8.374,0.060,1.209,10.898,0.014
252.2-109.8,8.440,0.009,7.946,0.009,1.004,8.563,0.007,10.854,0.009,8.503,0.033,1.122,10.906,0.011
254.6-107.2,8.288,0.013,8.330,0.009,1.006,8.613,0.008,11.010,0.012,8.804,0.054,1.031,11.027,0.012
281.4-71.8,8.510,0.006,7.946,0.009,1.010,8.619,0.005,10.938,0.007,8.944,0.051,1.137,10.998,0.009
243.0-159.6,8.744,0.008,7.945,0.009,1.004,8.809,0.007,10.797,0.015,8.370,0.073,1.209,10.881,0.017
297.7-87.1,8.541,0.012,7.827,0.009,1.010,8.622,0.010,10.896,0.016,8.903,0.057,1.180,10.972,0.019
309.4-56.9,8.509,0.011,7.849,0.009,1.012,8.600,0.009,10.718,0.018,8.801,0.071,1.163,10.789,0.020
354.1-71.2,8.345,0.011,8.178,0.009,1.001,8.571,0.007,10.916,0.008,7.905,0.088,1.053,10.939,0.008
164.9-333.9,8.515,0.009,8.243,0.009,1.006,8.704,0.007,10.951,0.007,8.743,0.068,1.070,10.983,0.008
360.9-75.3,8.250,0.010,8.233,0.009,1.002,8.543,0.007,10.918,0.011,8.205,0.043,1.036,10.934,0.011
377.9-64.9,8.428,0.010,7.764,0.008,1.005,8.515,0.009,10.840,0.009,8.508,0.032,1.171,10.911,0.013
99.6-388.0,8.238,0.009,8.242,0.009,1.004,8.543,0.006,10.955,0.010,8.605,0.070,1.034,10.972,0.011
397.4-71.7,8.356,0.009,7.906,0.009,1.024,8.498,0.008,10.677,0.021,9.056,0.098,1.102,10.730,0.021
226.9-366.4,8.571,0.010,7.826,0.009,1.006,8.646,0.009,10.900,0.008,8.685,0.051,1.193,10.979,0.013
405.5-157.7,8.320,0.008,7.585,0.009,1.011,8.398,0.007,10.926,0.019,8.955,0.079,1.186,11.005,0.021
345.5-273.8,8.314,0.009,8.060,0.010,1.009,8.510,0.007,10.872,0.075,8.821,0.089,1.066,10.902,0.075
410.3-206.3,8.574,0.011,7.921,0.009,1.004,8.663,0.009,10.903,0.012,8.503,0.109,1.167,10.972,0.015
371.1-280.0,8.322,0.007,8.011,0.009,1.004,8.497,0.005,10.911,0.008,8.512,0.054,1.078,10.945,0.009
368.3-285.6,8.364,0.007,8.181,0.009,1.003,8.584,0.006,10.933,0.007,8.382,0.058,1.055,10.958,0.008
392.0-270.1,8.129,0.009,8.183,0.009,1.008,8.461,0.006,10.932,0.008,8.811,0.066,1.030,10.948,0.008
481.4-0.5,8.088,0.009,7.654,0.009,1.011,8.229,0.007,10.840,0.009,8.884,0.061,1.103,10.887,0.011
453.8-191.8,8.160,0.010,7.943,0.008,1.003,8.367,0.007,10.887,0.008,8.396,0.056,1.061,10.914,0.009
331.9-401.0,8.119,0.008,8.009,0.009,1.003,8.370,0.006,10.862,0.026,8.393,0.129,1.045,10.883,0.027
509.5-264.1,8.124,0.009,8.080,0.009,1.004,8.405,0.006,10.900,0.008,8.517,0.011,1.038,10.918,0.008
266.0-534.1,8.124,0.010,7.967,0.008,1.034,8.368,0.008,10.873,0.059,9.401,0.076,1.047,10.909,0.057
667.9-174.1,7.677,0.011,8.051,0.006,1.006,8.207,0.005,10.908,0.008,8.705,0.014,1.021,10.920,0.008
1.0-885.8,7.973,0.010,7.432,0.009,1.020,8.092,0.008,10.870,0.031,9.160,0.020,1.127,10.930,0.031
6.6-886.3,7.945,0.009,7.602,0.009,1.010,8.112,0.007,10.897,0.017,8.884,0.038,1.083,10.935,0.017
NGC 5194-30.2-2.2,7.364,0.009,6.264,0.008,1.042,7.415,0.008,10.632,0.007,9.258,0.050,1.242,10.743,0.013
NGC 2403-38-51,8.356,0.028,7.909,0.034,1.018,8.495,0.023,10.895,0.032,9.153,0.267,1.110,10.947,0.034
NGC 2403-7-37,8.319,0.028,7.831,0.036,1.006,8.444,0.023,10.917,0.030,8.683,0.287,1.126,10.971,0.035
NGC 2403-119-28,8.610,0.018,8.252,0.019,1.007,8.771,0.014,10.940,0.021,8.800,0.270,1.088,10.980,0.023
NGC 2403-59-118,8.470,0.029,8.378,0.035,1.016,8.734,0.023,10.961,0.029,9.189,0.275,1.044,10.987,0.030
NGC 2403-96-30,8.476,0.009,8.139,0.014,1.007,8.643,0.008,10.933,0.018,8.806,0.214,1.082,10.970,0.018
NGC 2403-44-82,8.587,0.031,7.948,0.037,1.014,8.683,0.026,10.913,0.027,9.048,0.279,1.169,10.985,0.038
NGC 2403-166-140,8.304,0.030,8.020,0.036,1.012,8.491,0.024,10.970,0.033,9.057,0.269,1.075,11.007,0.035
NGC 2403-99-59,8.583,0.024,7.982,0.028,1.003,8.682,0.020,10.895,0.020,8.376,0.291,1.159,10.961,0.027
NGC 2403-196-58,8.435,0.016,8.197,0.017,1.006,8.636,0.012,10.922,0.019,8.687,0.284,1.064,10.952,0.019
NGC 2403-22-162,8.549,0.018,7.926,0.020,1.019,8.649,0.016,10.926,0.026,9.211,0.344,1.154,10.996,0.030
NGC 2403-160-251,8.248,0.031,7.943,0.036,1.015,8.431,0.024,10.908,0.028,9.093,0.088,1.078,10.947,0.030
Reg-1,6.672,0.016,7.037,0.019,1.029,7.205,0.014,10.861,0.014,9.316,0.131,1.021,10.883,0.014
J0118-3512,7.334,0.005,7.479,0.001,1.032,7.727,0.002,10.937,0.015,9.443,0.027,1.025,10.962,0.015
J1322-5425,6.969,0.010,7.358,0.001,1.013,7.512,0.003,10.820,0.005,8.946,0.035,1.021,10.835,0.005
0723-692A,7.182,0.007,7.792,0.001,1.010,7.892,0.002,10.912,0.004,8.895,0.048,1.020,10.925,0.004
0723-692B,7.650,0.003,7.672,0.003,1.015,7.969,0.003,10.896,0.013,9.084,0.123,1.032,10.917,0.013
0907-543,7.441,0.009,7.909,0.007,1.032,8.050,0.006,10.895,0.029,9.398,0.015,1.021,10.918,0.028
0917-527,7.722,0.002,7.695,0.001,1.025,8.021,0.002,10.903,0.012,9.300,0.056,1.035,10.929,0.012
0926-606,7.730,0.002,7.762,0.002,1.018,8.055,0.002,10.889,0.013,9.139,0.055,1.031,10.910,0.013
0930-554,6.853,0.001,7.086,0.002,1.038,7.302,0.002,10.801,0.005,9.382,0.032,1.023,10.828,0.005
1030-583,7.409,0.001,7.700,0.002,1.027,7.891,0.001,10.887,0.009,9.320,0.036,1.022,10.908,0.009
1116-583B,7.086,0.015,7.602,0.010,1.032,7.731,0.010,10.845,0.038,9.340,0.172,1.020,10.866,0.037
1205-557,7.716,0.004,7.526,0.005,1.020,7.941,0.005,10.886,0.022,9.194,0.170,1.053,10.917,0.022
1222-614,7.566,0.001,7.867,0.002,1.019,8.051,0.001,10.886,0.009,9.163,0.051,1.022,10.904,0.008
1223-487,7.229,0.001,7.689,0.001,1.013,7.824,0.001,10.900,0.004,9.021,0.036,1.021,10.914,0.004
1256-351,7.583,0.001,7.909,0.001,1.012,8.082,0.001,10.908,0.004,8.972,0.039,1.022,10.923,0.004
1319-579A,7.584,0.001,8.020,0.002,1.008,8.159,0.001,10.926,0.008,8.831,0.055,1.021,10.938,0.008
1319-579B4,7.933,0.011,7.663,0.010,1.047,8.139,0.014,10.856,0.050,9.512,0.259,1.062,10.901,0.050
1319-579C,8.125,0.002,7.929,0.003,1.015,8.345,0.002,10.899,0.012,9.065,0.122,1.055,10.928,0.012
1358-576,7.697,0.003,7.748,0.002,1.012,8.030,0.002,10.936,0.008,9.015,0.074,1.030,10.955,0.008
1441-294,7.758,0.009,7.882,0.009,1.018,8.133,0.009,10.945,0.035,9.194,0.318,1.027,10.963,0.034
1533-574B,7.953,0.002,7.985,0.003,1.011,8.275,0.002,10.913,0.012,8.966,0.120,1.032,10.931,0.012
Pox105,7.502,0.001,7.747,0.010,1.019,7.951,0.006,10.846,0.019,9.120,0.083,1.023,10.864,0.019
Pox120,7.276,0.001,7.777,0.009,1.019,7.905,0.007,10.859,0.018,9.144,0.079,1.020,10.876,0.018
Pox139,7.663,0.001,7.857,0.010,1.026,8.083,0.006,10.880,0.018,9.297,0.054,1.024,10.902,0.018
UM160-A,7.638,0.010,7.833,0.045,1.005,8.050,0.028,10.875,0.027,8.533,0.135,1.025,10.889,0.027
UM160-B,7.753,0.009,7.868,0.042,1.027,8.127,0.024,10.865,0.031,9.291,0.064,1.027,10.887,0.030
UM420-B,8.019,0.008,7.845,0.426,1.023,8.257,0.168,10.926,0.023,9.292,0.109,1.052,10.955,0.022
TOL0513-393,7.134,0.008,7.900,0.043,1.009,7.972,0.036,10.971,0.017,8.941,0.065,1.020,10.983,0.017
TOL2146-391-C,7.182,0.001,7.754,0.004,1.018,7.865,0.003,10.914,0.008,9.171,0.023,1.020,10.931,0.008
TOL2146-391-E,7.202,0.001,7.747,0.004,1.020,7.864,0.003,10.906,0.012,9.196,0.032,1.020,10.922,0.012
TOL0357-3915-C,7.364,0.005,7.861,0.004,1.019,7.990,0.004,10.929,0.012,9.215,0.037,1.020,10.946,0.012
TOL0357-3915-E,7.387,0.005,7.855,0.004,1.014,7.988,0.004,10.902,0.021,9.050,0.065,1.021,10.917,0.020
NGC 346,7.506,0.005,7.930,0.004,1.002,8.069,0.003,10.915,0.004,8.229,0.042,1.021,10.925,0.004
